id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
1461,Chief Engineering for Apartment (Medan Area),Medan,IDR,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Teknik,Teknik Elektro","Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",,501 - 1000 pekerja,Konstruksi/Bangunan/Teknik,"Merencanakan, mengkoordinir, melaksanakan, menyelesaikan dan memutuskan permasalahan Engineering yang meliputi pengoperasian/maintenance/ perbaikan / modifikasi sarana prasarana, utilitas, mekanikal,elektrikal, civil, arsitek, jasa pelayanan / services dll.Menyusun, mengajukan budget tahunan Engineering dan mengontrol dalam penggunaannya agar sesuai dengan program anggaran dan kebutuhan unit property.Membuat laporan bulanan ke Property Manager / GM Property untuk setiap permasalahan dan aktifitas Engineering termasuk juga memberikan informasi dan masukan atau usulan yang diperlukan untuk perbaikan Perusahaan. Membantu Property Manager dalam setiap permasalahan yang dihadapi untuk segera diatasi dan diselesaikan.Kualifikasi:Pendidikan minimal D3 atau S1 (Teknik Mesin/Teknik Elektro/Teknik Sipil atau jurusan lainnya yang menunjang)Pengalaman minimal 5 Tahun sebagai di bagian Engineering gedung Kantor/Apartment/MallBerpengalaman sebagai supervisor / leader engineering minimal 3 tahunMenguasai pengetahuan Tentang Mechanical dan Electrical dalam pengelolaan gedungMemiliki jiwa leadership yang baikJujur, penuh semangat, Loyal, berdedikasi tinggi, mempunyai komunikasi skill yang baik",
1462,Full-Stack Engineer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",29 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","PT Sharing Vision Indonesia masih membutuhkan beberapa talent minimal S1/D4/S2 dari Teknik Informatika/Sistem Teknologi Informasi/Teknik Komputer/Teknik Elektro/Engineer lainnya, untuk posisi sebagai:FULL-STACK ENGINEER(BERTUGAS UNTUK MELAKUKAN PEMROGRAMAN BACK-END DAN FRONT-END)Penempatan WFO di JakartaPersyaratan:Mempunyai pengalaman minimal 1 tahun sebagai Software Developer dalam pekerjaan atau proyek.Fresh graduate yang mempunyai skill sebagai programmer dipersilahkan untuk mendaftar.Talent siap di training untuk proyek pengembangan Big Data menggunakan bahasa pemrograman Golang, React.JS, dan interface (RestAPI) selama 1 bulan.Pengalaman dalam teknologi software-backend: Golang, Gin Framework, Java Programming, PHP (Codeigniter).Pengalaman dalam teknologi software-frontend: React.JS, Next.JS, PHP (Codeigniter).Pengalaman dalam teknologi database: MySQL, SQL Server, Postgress.Mempunyai portfolio pengembangan sistem yang pernah dilakukan dan dapat ditunjukkan.Hanya yang memenuhi persyaratan diatas yang akan dipanggil untuk tes",7500000.0
1463,Sales Trainer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Pendidikan/Pelatihan,Pelatihan & Pengembangan","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",24 days,51 - 200 pekerja,Umum & Grosir,"What you will do:Design and deliver Mitra Penjualan Solubis (MPS) and Expert Sales Academy Program, from its foundation to its continuous development program Analyze day-to-day needs for training in the sales teamManage new Mitra Penjualan Solubis (MPS) orientation for product training Create training module for Mitra Penjualan Solubis)MPS)Stay up to date with current market trends and the changing demands of the sales environmentMaintaining existing Mitra Penjualan Solubis (MPS) and Expert to achieve target and beyond targetRequirements:Bachelor’s degree in Human Resource, Business Administration, Marketing or relevant fieldProven 2 years of experience as a Sales Trainer or similar role, preferable from e-commerce, banking/multi finance/Insurance/MLM IndustryStrong in data and excel formulasHands-on experience with e-learning platformsSolid communication and presentation abilitiesAbility to design effective sales training programsGreat interpersonal",
1464,Finance & Accounting Supervisor - Tanjung Lesung,Pandeglang,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi Gigi;Tunjangan Pendidikan;Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",26 days,1001 - 2000 pekerja,Properti/Real Estate,"Job Description:Managing & overseeing daily operations finance & accounting, tax, audit in Finance & accounting departement.Responsible for AP, AR, Cash flow, Utilities, treasury, Budgeting and capital assets etc.To support management to meet financial accounting target & objectives.Working together with level in organization to achieve target.Job Qualification:Candidate must possess at least a Bachelor's Degree in Finance/Accountancy/Banking, or equivalent.At least 5 year(s) of working experience in the related field is required for this position.Preferably have experience in Food and Beverage company / industry.Excellence in Accounting Systerm and Microsoft Excel.Strong Analytical Skills.Personnel competency, Strong Leadership, Self-starter and able to work in a Team.Able to work under pressure.Full-Time position(s) available.Placement : Tanjung Lesung.",
1465,Terapis,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Pelayanan,Perawatan Pribadi",,,,Perawatan/Kecantikan/Fitnes,"Zu Yu Tang Reflexology Membuka Lowongan Terapis Wan-ita dengan persyaratan :Pendidikan minimal SMP atau SMA/SMK dan sederajat.Berpengalaman dan mengerti tentang pijat reflexology.Memiliki Kepribadian baik.Dapat berkomunikasi dengan baik.Komunikatif dan inisiatif.Dapat Bekerjasama dengan tim.Rajin, Disiplin, dan Mau belajar.Memiliki kendaraan pribadi.Sabar dan telatenSehat Jasmani dan Rohani.Komisi besar untuk para terapis, silahkan langsung datang dan melamar ke Galaxy Bumi Permai blok G6 no 1, Surabaya Timur",
1466,Sport Teacher,Depok,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Lainnya,Lainnya/Kategori tidak tersedia",,,,Pendidikan,"Requirements :Posses at least bachelor's degree in specific subjectHave at least 1 years teaching/working experienceActive in speaking englishCan be trusted, responsible, discipline, innovative, communicative, religious and authoritativeAble to work individually and in teams",
1467,DEVOPS ENGINEER,Jakarta Selatan,IDR,Supervisor/Koordinator,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database","Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",2 days,1- 50 pekerja,Umum & Grosir,"Job BriefWe are currently hiring a DevOps Engineer to join our engineering team and be responsible for implementing, maintaining, monitoring and supporting the IT infrastructure.Main Responsibilities of DevOps EngineerYour responsibilities will include:Implementing, maintaining, monitoring and supporting the IT infrastructureWriting scripts for service quality analysis, monitoring and operationDesigning procedures for system troubleshooting and maintenanceInvestigating and resolving technical issues by deploying updates/ fixesImplementing automation tools and frameworks for automatic code deployment (CI/CD)Quality control and management of the code base Key RequirementDegree in Computer Science, Engineering or a related fieldYou have prior experience as a DevOps engineerFamiliarity with software release management and deployment (Git, CI/CD)Solid understanding of DevOps principles and practicesKnowledge of systems and platforms securityYou have good problem-solving skills and attention to detail",
1468,Software Developer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Medical",27 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","Job Description :Development Application SystemConfirms project requirements by reviewing program objective, input data, and output requirements with analyst, supervisor, and clientArranges project requirements in programming sequence by analyzing requirements; preparing a work flow chart and diagram using knowledge of computer capabilities, subject matter, programming language, and logicWrite, tes, debug and maintaint the detailed instruction, called computer program, that computer must follow to perfom their functionAct as Integrator and Database AdministratorMaintains historical records by documenting program development and revisionsControlling and monitoring implementation of all system applicationConduct user need analysis, coordinate with team member developer, create program according to user neededReview, analyzes, and modifies programming system including encodingEnsure the product running wellRequirement :Candidate must possess at least Minimum Bachelor’s degree in Computer Science / Information TechnologyMinimum 3 years of working experience in the related field is required for this positionRequired Skill(s): node js, reactjs, asp net core, AWS Console and Power Platform (PowerApps, Sharepoint, PowerBI)Familiar with DevOps ecosystemsExperienced in using DevOps Tools (Git, Jenkins, Docker, etc)Experienced with serverless architecture is DesirableHigh Integrity, able to work based on target and under pressureProactive and good communication skillHave good logic & analytical thinkingOpen minded and fast learner",
1469,STAFF ACCOUNTING penempatan Bandung,Jawa Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",29 days,501 - 1000 pekerja,Perbankan/Pelayanan Keuangan,"Kandidat harus memiliki setidaknya Diploma, Gelar Sarjana di Keuangan/Akuntansi/Perbankan atau setara.Bahasa yang harus dimiliki: English Setidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Memiliki pengalaman kerja di pembiayaan atau KAP lebih disukai Kemampuan yang harus dimiliki: ORACLE SYSTEM atau program accounting yang lainLebih disukai Pegawai (non-manajemen & non-supervisor) khusus dalam Keuangan - Umum/Akuntansi Pembiayaan atau setara.",
1470,Barista,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM",Kontrak,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",,,,Makanan & Minuman/Katering/Restoran,Tugas dan tanggung jawab:Menyambut pelanggan dengan ramahMemberikan masukan kepada pelanggan tentang minat dan kebutuhan minuman merekaMenjelaskan menu yang diminta pelangganMempersiapkan dan menyajikan minuman kopi dengan mengikuti resep Meningkatkan reputasi coffee shop dengan terus menjaga kualitas sajianKualifikasi:Usia 20-30 tahunMenerima semua pendidikan yang terpenting berpengalaman dan memiliki etos kerja yang tinggiPengalaman minimal 1 tahunMemiliki pengalaman sebagai BaristaBerpenampilan rapi dan sopan,
1471,MANAGER AKUNTING,Jakarta Raya,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",26 days,51 - 200 pekerja,Percetakan/Penerbitan,"Usia Maksimal 38 tahunMin S1 AkuntansiJujur , Bertanggung jawab , menyelesaikan pekerjaan tepat waktu dan tidak menundabekerja di dalam team, mempunyai jiwa leadershipMahir Software AccountingMenguasai Excel dengan rumus-rumus nyaPengalaman di bidang Akunting min 5 tahunPengalaman di bidang Akunting manufaktur atau distributor lebih diutamakanMenguasai pengerjaan laporan keuanganMenguasai perpajakan dan perhitungannyaDomisili di utamakan Jakarta Barat ,Jakarta Selatan dan TangerangTugas:Pelaporan Laporan Keuangan beserta Pos-pos pendukungnyaPelaporan Analisa atas laporan keuanganPemeriksa dan Pelaporan Kegiatan Perbankan yang dikerjakan oleh Finance",
1472,DRIVER/SUPIR,Jakarta Raya,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"SMA, SMU/SMK/STM",Penuh Waktu,"Lainnya,Pekerjaan Umum","Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",29 days,51 - 200 pekerja,Konsultasi (Bisnis & Manajemen),Mengantar barang ke outlet - outlet sesuai schedule yang sudah ditentukanMelakukan pelayanan terhadap kebutuhan perusahaan yang membutuhkan jasa driverBertanggungjawab atas kebersihan dan pemeliharaan kendaraan yang digunakanPersyaratan:Usia maksimal 35 tahunPendidikan minimal SMA segala jurusanMemiliki SIM A / B1,
1473,Sales Executive,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Kontrak,"Penjualan / Pemasaran,Penjualan Ritel","Tip;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",,1- 50 pekerja,Kesehatan/Medis,"Requirements:Candidate must possess at least Diploma, Bachelor's Degree in any Field (Prefered Marketing/Farmasi/MIPA)Maximum age 35 years oldHaving minimum 2 years experiences in selling Medical DevicesHave knowledge about Hospital procurementRequired Skill (s): Marketing, Presentation, Sales, Product Knowledge, Target Oriented, Salesmenship/MarketingFluent in English is a plus (both oral & written)Responsibility:Create Demand and SalesApproach to UserDoing Promotion & Selling ProductAchive TargetPlacement : Bandung, Surabaya, Makassar & Medan",6750000.0
1474,Staff IT,Semarang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Keras","Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",30 days,51 - 200 pekerja,Percetakan/Penerbitan,"Syarat :Usia maksimal 35 TahunLulusan Minimal D3 Teknologi InformatikaMemahami troubleshooting PC/Laptop baik hardware, sistem software dan jaringan yang dibutuhkan oleh kantor Komunikatif, Tanggung Jawab dan Bisa bekerjasamaPenempatan SemarangJobdes :Membuat jadwal dan melakukan pemeliharaan software, hardware dan jaringan yang ada di perusahaan Melakukan perbaikan software, hardware dan jaringan yang ada di perusahaan Melakukan inventaris semua software, hardware dan jaringan yang ada di perusahaan Melakukan backup data secara periodikMemelihara alat-alat kerja yang berhubungan dengan perangkat komputer, printer, fax, ccttv, dll yang ada dilingkungan perusahaan",
1475,Sales Canvassing,Bali,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",,,,Makanan & Minuman/Katering/Restoran,Kualifikasi :Minimal Lulusan SMA/SederajatMemiliki HP Androif dan paket dataFamiliar menggunakan aplikasi berbasis androidMemiliki sepeda motor dan SIM CIdelnya memiliki penfalam dalam mengkauisisi merchant FMCG/F&BDeskripsi Pekerjaan :Bertanggung jawab mendapatkan data baruMampu bekerja secara team maupun individu.Mencapai target penjualan perusahaan.Mencari dan memperoleh pelanggan baru.,3400000.0
1476,Management Trainee Sumatera Selatan,Sumatera Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi Gigi;Tunjangan Pendidikan;Tip;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",16 days,Lebih dari 5000 pekerja,Perbankan/Pelayanan Keuangan,Deskripsi PekerjaanProgram lengkap untuk mempelajari dan mengeksplorasi semua aspek dan proses bisnis dalam sebuah perusahaan pembiayaan (Multifinance Company) Kualifikasi:Usia maksimal 24 tahunPendidikan minimal S1 dengan IPK minimal 3.00Freshgraduate atau maksimal 1 tahun pengalaman kerjaMemiliki pengalaman berorganisasi baik formal maupun informalMemiliki kemampuan analisa dan pemecahan masalah yang baikMemiliki semangat dan motivasi yang tinggi untuk mengembangkan karir di WOM FinanceMampu mengendarai kendaraan bermotor dan memiliki SIM CBersedia ditempatkan di seluruh indonesiaBersedia menitipkan ijazah selama masa program sampai ikatan dinas selesai,
1477,Salesman (Kediri & Jember),Kediri,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Asuransi kesehatan;Bisnis (contoh: Kemeja),29 days,1001 - 2000 pekerja,Manufaktur/Produksi,"Tugas dan Tanggung Jawab:Mengenalkan semua produk perusahaanMenjual produk tangki dan non tangki (filter air, dan accessories lainnya)Memasarkan produk sesuai target/quota penjualanMembuat laporan penjualan secara periodik dan melaporkannya ke atasanRequirements:Usia Maksimal 30 tahunPendidikan minimal SMA/ D3 pemasaran / S1 semua jurusanPengalaman minimal 2 tahun dibidang Industrial/Key Account, atau Bahan BangunanMengerti mengenai bahan bangunan, peta pemasaran bahan bangunanMampu mengoperasikan komputer min. Ms. OfficeSanggup bekerja dengan baik dalam target waktu yang ditentukanDinamis, inisiatif, integritas, dan dapat bekerja secara mandiri maupun teamPenampilan menarik & komunikatifMemiliki kendaraan pribadi / SIM CDapat untuk bergabung secepatnya"" Only short-listed candidates will be invited via e-mail/phone for Test and Interview """,
1478,Sales Officer,Denpasar,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",29 days,1- 50 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,Tugas dan Tanggung Jawab :Membuka dan menjalin kerjasama dengan para pelanggan lama dan pelanggan baru sehingga dapat mewujudkan tercapainya target penjualan.Bekerjasama dengan para pelanggan dan memastikan pertumbuhan bisnis yang lebih baik dan memperluas penetrasi pasar.Membangun kerjasama strategis dan inovatif dengen membuat program sales dan marketing yang lebih baik.Berinisiatif dan kreatif dalam memasarkan produk - produk dan solusi ke para pelanggan dengan fokus pada kerjasama team dan pelanggan.Memastikan proses kerja sesuai target dan budget dan juga memastikan seluruh penjualan dan pembayaran berjalan dengan baik dan lancar.Membuat perencanaan pembelian dan penjualan secara akurat. Persyaratan :Memiliki pengalaman kerja selama minimal 1 tahun dibidang sales dan marketing di industry IT dan consumer products serta berpengalaman dalam menangani pelanggan korporasi dan education.Pengetahuan akan produk dan mampu beradaptasi dan mau belajar untuk mengetahui produk baru.Memiliki kemampuan dan relasi yang luas dari berbagai sektor industry pelanggan.Mempunyai kemampuan dan keahlian bernegosiasi dan komunikasi yang baik.Bermotivasi tinggi dan fokus terhadap target pekerjaan dan dapat bekerjasama dengan baik.Minimal lulusan SMA/SMK,
1479,SENIOR BUSINESS ANALYST,Jakarta Selatan,IDR,Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",22 days,1- 50 pekerja,Perbankan/Pelayanan Keuangan,"Job Descriptions:The candidate will be involved in supporting marketing and data analysis related activities.The Business Analyst will be involved in activities such as:Provide pre-sales support to sales team for the following:Provide technical knowledge such as CB Score, CB matching and other CB value added productsAssist in pre-sales activity such Client Portfolio Analysis and Retro AnalysisAnother analytic related projectManaged market/industry research and maintain internal data dashboardPerform data analysis and visualization to provide insightful data to support the management and other related function or clients.Document preparation and presentation.Project cycle management and responsibility for requirement, delivery, costs, and quality of releases.Manage coordination of project team composed of consultants/sales, operation, developers, and specialist.Job Requirements:5 years of experience in similar job functions, preferable from financial industry.Degree in Economics, Math, Statistics or Management EngineeringDemonstrate proven proficiency in EnglishPresentation and negotiation skillsAnalytic skills (development) and problem solving is a plusSelf-organization of all activities and priorities managementFocused on the ultimate goal (the customer needs)Knowledge of SAS or equivalent statistical software is considered a plus.",
1480,Drafter,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Bangunan/Konstruksi,Arsitek/Desain Interior","Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",21 days,51 - 200 pekerja,Umum & Grosir,"Persyaratan :Usia Maksimal 35 tahunPendidikan minimal SMA/SMKDisiplin & telitiMemiliki kemampuan komunikasi yang baikMampu bekerja dalam teamMenguasai microsoft office, autocad, visio dan lain-lainDeskripsi Pekerjaan:Membuat BQ dari drawingMenggambar isometric Koordinasi dengan pihak terkait",
1481,Area Supervisor Outlet,Surabaya,IDR,Supervisor/Koordinator,2 tahun,Tidak terspesifikasi,Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Asuransi kesehatan;Bisnis (contoh: Kemeja),20 days,51 - 200 pekerja,Makanan & Minuman/Katering/Restoran,"Anda Memiliki Kemampuan Memimpin Tim dan Menghandle Banyak Outlet ? Berpengalaman Dalam Hal Pelayanan Konsumen Serta Mengatur Teknis Operasional Outlet ? Siap Menjadi Area Supervisor Outlet di Perusahaan Yang Bergerak di Bidang Bakery&Pastry Dengan Cita Rasa Perancis ?Di Maison Feerie, Kami percaya bahwa dengan menyajikan produk yang unik & berkualitas serta menciptakan magical moment service terhadap costumer kita akan meningkatkan kualitas hidup yang lebih nikmat & bahagia untuk banyak orang.Maison Feerie adalah perusahaan yang bergerak dalam bidang bakery dan pastry yang saat ini telah memiliki 10 cabang di pusat perbelanjaan utama di Kota Surabaya, kami akan berevolusi dan bekembang terus menerus yang mana dalam waktu dekat akan membuka cabang nya di Kota Jakarta dan kota-kota lain di seluruh Indonesia. Visi kami dalam 5 tahun kedepan adalah untuk menjadi perusahaan TOP BRAND bakery & pastry berskala nasional.Jika Anda merasa memiliki jiwa yang sama dengan kami dan tidak hanya ingin sekedar bekerja, namun juga mengembangkan diri untuk menjadi lebih baik, kami tunggu CV Anda! Kualifikasi :Usia maksimal 35 TahunPendidikan mininal S1 Perhotelan, Pariwisata, ManajemenBerpengalaman minimal 2 Tahun sebagai Area Supervisor Outlet perusahaan F&BMemiliki pengalaman menghandle banyak OutletMemiliki kemampuan leadership & communication skill yang baikMemiliki customer service skill yang baikMengerti tentang handling customer complainMempraktisikan team building (Berorientasi pada tim)Tugas dan Tanggung Jawab :Bertanggung jawab untuk mengawasi operasional beberapa outlet, sesuai dengan Area/Wilayah yang ditentukan oleh Manajemen PerusahaanMemastikan agar standra pelayanan di setiap outlet berjalan dengan baikMembuat, memantau, dan memaksimalkan Bakery Merchandising di setiap outletMelatih karyawan Service Crew agar mencapai standar yang diinginkan perusahaanMembangun hubungan yang baik dengan pelangganMemastikan channel penjualan Go-Food, Grab Food, Shopee Food berjalan dengan baikMemastikan budaya perusahaan dijalankan dengan baik di setiap tokoMenjaga citra brand perusahaanBenefits :Gaji yang kompetitifJaminan Kesehatan (BPJS)Bonus bulanan sesuai target kinerja pribadiJika Anda adalah orang yang kami cari, lakukan ACTION mulai sekarangKami juga membuka kesempatan untuk Anda yang ingin bergabung mengisi posisi Store Supervisor dan Store LeaderKirimkan CV Update dan Lamaran Kerja Anda di hr.recruitment(at)maisonfeerie.comdengan Subject : Area Supervisor Outlet_Jakarta/Surabaya _Nama",
1482,Account Executive (Sales),Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi","Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS Ketenagakerjaan, BPJS Kesehatan, Incentive, Bonus & Reward",29 days,1- 50 pekerja,Periklanan/Marketing/Promosi/Hubungan Masyarakat,"Job description:Analyze market needs in digital displays.Arrange meeting and give a presentation.Submit Quotation.Maintain the beneficial relationship with client.Requirements:At least 1 year(s) of working experiences in fields of IT, Digital Displays, System Integration, Audio Visual Solution.Ability to analyze market and to do presentation.Technology minded.Confident, passionate, learning by doing, highly scalable, and creative.",
1483,Purchasing Supervisor (Grobogan - Jawa Tengah),Jawa Tengah,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",27 days,2001 - 5000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Pendidikan minimal S1 semua jurusanPengalaman minimal 2 tahun dibidang purchasingMemiliki business networking yang relevanKomputer aktif, khususnya Ms. OfficeBersedia melakukan perjalanan Dinas Luar KotaBersedia ditempatkan di Grobogan, Jawa Tengah",
1484,Sales Shipping Line,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",,,,Industri Berat/Mesin/Peralatan,Responsibility:Meet and exceed sales targetsSuccessfully create business from new and existing customer accountsManage complex negotiations with senior-level executivesBuild rapport and establish long term relationships with customersBuild relationship with all principals to get their supportPrepare weekly sales reportQualifications:2-5 years quota carrying sales experience in Shipping and or Logistic IndustryStrong written and verbal communication skillsHave good negotiation skillExcellent Communication English (if mastering Mandarin is a plus)Ability to speak Mandarin is an advantageWork location in Surabaya & JakartaPlease write the code on the top right for Jakarta (JKT) or Surabaya (SBY) applicants,
1485,.NET Developer,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Bonus, THR",8 days,51 - 200 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"Develop tailor-made applications base on predefined business requirementsMaintain & bug fixing developed applicationsLearn how to implement programming best practices to increase your performance and deliverablesAre You The Right Person We're Looking For?Fast learnerResult Oriented with good process justificationDiscipline, Hardworking, able to work under pressureCommunicative & socially awareHighly Initiative and self-motivatedGood individual and team player Outstanding analytical and problem-solving capabilities.Academic RequirementsGraduates with Computer Science / Information Technology Bachelor Degree from reputable UniversitiesFresh graduates are always encouraged to applyTechnical Skills RequirementsFamiliarity with the ASP.NET framework, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC)Experienced in Web Programming using C#Having knowledge in HTML, Javascript, jquery,and CSS As a .NET Programmer (C#), you will be responsible for developing and maintaining solutions using C#, SQL Server, and other Microsoft technologies.",
1486,Section Manager of Production - Bogor (CS2),Jawa Barat,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Manufaktur","Asuransi Gigi;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",11 days,Lebih dari 5000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Kualifikasi:Pendidikan minimal S1 Teknik Industri, Mesin, Elektro, Teknologi PanganIPK minimal 3.00Pengalaman minimal 3 tahun di bidang Produksi Aseptic Diutamakan berpengalaman di perusahaan FMCGBersedia ditempatkan di Pabrik Caringin, BogorDeskripsi Pekerjaan:Mengatur dan memonitor terhadap kerja karyawan di bagian produksi sesuai fungsi dan jabatan masing-masing Memastikan proses produksi berjalan lancar sesuai dengan standar mutuMenjalankan proses produksi yang efektif, efisien, dan produktif agar dapat mencapai standard dan rencana produksi yang telah ditentukanMonitoring BS (Produk, Packaging, Bahan Baku)Monitoring performance line produksi (mesin dan non mesin)Monitoring rencana vs realisasi produksi",
